University,Country,City,Region,Logo,Link,Type,Size,Faculty_count,International_Students,Students_count,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Latitude,Longitude
Northeastern University,United States,Boston,North America,https://www.topuniversities.com/sites/default/files/northeastern-university_454_small.jpg,https://www.topuniversities.com/universities/northeastern-university,Private,L,2,8,24,360,346,326,343,363,343,42.340183,-71.088069
Hiroshima University,Japan,Higashihiroshima City,Asia,https://www.topuniversities.com/sites/default/files/hiroshima-university_264_small.jpg,https://www.topuniversities.com/universities/hiroshima-university,Public,L,2,2,12,297,322,321,333,322,344,,
Universiti Teknologi Brunei,Brunei,Bandar Seri Begawan,Asia,https://www.topuniversities.com/sites/default/files/universiti-teknologi-brunei_592560e49988f300e23219b2_small.jpg,https://www.topuniversities.com/universities/universiti-teknologi-brunei,Public,S,139,475,834,0,0,442,379,351,345,,
Universität Jena,Germany,Jena,Europe,https://www.topuniversities.com/sites/default/files/universitt-jena_592560cf2aeae70239af4bb5_small.jpg,https://www.topuniversities.com/universities/universitat-jena,Public,L,4,2,16,362,341,326,339,324,345,,
Virginia Polytechnic Institute and State University,United States,Blacksburg,North America,https://www.topuniversities.com/sites/default/files/virginia-polytechnic-institute-and-state-university_592560cf2aeae70239af4d15_small.jpg,https://www.topuniversities.com/universities/virginia-polytechnic-institute-state-university,Public,XL,3,4,36,360,367,338,326,328,347,37.229906,-80.419988
Kazan (Volga region) Federal University,Russia,Kazan,Europe,https://www.topuniversities.com/sites/default/files/kazan-volga-region-federal-university_313_small.jpg,https://www.topuniversities.com/universities/kazan-volga-region-federal-university,Public,L,4,8,24,502,443,439,392,370,348,,
UCSI University,Malaysia,Kuala Lumpur,Asia,https://www.topuniversities.com/sites/default/files/ucsi-university_592560e09988f300e2320ce5_small.jpg,https://www.topuniversities.com/universities/ucsi-university,Private,M,744,2,5952,0,0,481,441,391,348,,
"University of California, Santa Cruz",United States,Santa Cruz,North America,https://www.topuniversities.com/sites/default/files/university-of-california-santa-cruz_92_small.jpg,https://www.topuniversities.com/universities/university-california-santa-cruz,Public,L,1,2,18,296,301,336,366,416,348,36.98825595,-122.0581449
Universität Stuttgart,Germany,Stuttgart,Europe,https://www.topuniversities.com/sites/default/files/universitt-stuttgart_580_small.jpg,https://www.topuniversities.com/universities/universitat-stuttgart,Public,L,932,3,15844,263,259,260,278,335,348,,
Brunel University London,United Kingdom,,Europe,https://www.topuniversities.com/sites/default/files/brunel-university-london_592560cf2aeae70239af4acc_small.jpg,https://www.topuniversities.com/universities/brunel-university-london,Public,L,860,5,13760,345,346,332,358,368,352,,
Universidad Carlos III de Madrid (UC3M),Spain,Madrid,Europe,https://www.topuniversities.com/sites/default/files/universidad-carlos-iii-de-madrid-uc3m_1509_small.jpg,https://www.topuniversities.com/universities/universidad-carlos-iii-de-madrid-uc3m,Public,L,2,2,18,280,281,253,297,312,352,,
Ural Federal University - UrFU,Russia,Ekaterinburg,Europe,https://www.topuniversities.com/sites/default/files/ural-federal-university-urfu_592560cf2aeae70239af505a_small.jpg,https://www.topuniversities.com/universities/ural-federal-university-urfu,Public,L,5,5,30,601,492,412,363,333,352,,
Johannes Kepler University Linz,Austria,Linz,Europe,https://www.topuniversities.com/sites/default/files/johannes-kepler-university-linz_349_small.jpg,https://www.topuniversities.com/universities/johannes-kepler-university-linz,Public,M,897,774,5382,550,471,456,412,363,355,,
George Washington University,United States,Ashburn,North America,https://www.topuniversities.com/sites/default/files/george-washington-university_223_small.jpg,https://www.topuniversities.com/universities/george-washington-university,Private,L,2,4,22,362,353,345,335,354,356,38.899096,-77.046277
Tilburg University,Netherlands,Tilburg,Europe,https://www.topuniversities.com/sites/default/files/tilburg-university_592560cf2aeae70239af4ce5_small.jpg,https://www.topuniversities.com/universities/tilburg-university,Public,M,745,2,11175,330,357,319,370,368,357,,
University of Lisbon ,Portugal,Lisbon ,Europe,https://www.topuniversities.com/sites/default/files/university-of-lisbon_1475_small.jpg,https://www.topuniversities.com/universities/university-lisbon,Public,XL,3,9,42,330,305,355,337,358,357,,
Nankai University,China (Mainland),Tianjin,Asia,https://www.topuniversities.com/sites/default/files/nankai-university_882_small.jpg,https://www.topuniversities.com/universities/nankai-university,Public,XL,3,1,33,315,344,338,367,377,359,,
National University of Sciences And Technology (NUST) Islamabad,Pakistan,Islamabad,Asia,https://www.topuniversities.com/sites/default/files/national-university-of-sciences-and-technology-nust-islamabad_698_small.jpg,https://www.topuniversities.com/universities/national-university-sciences-technology-nust-islamabad,Public,M,2,563,14,502,432,417,400,356,359,,
